ts_event_min_jpm,mid_price_jpm,log_return_1min_jpm,PCA_OFI_jpm
2024-12-04 10:01:00-05:00,244.60497326203208,0.0006305853270243134,1.9678425322300839
2024-12-04 10:02:00-05:00,244.6925687103594,0.00035804573597530975,-0.9820973792062527
2024-12-04 10:03:00-05:00,244.48837438423647,-0.0008348417527912488,-3.8404332142500786
2024-12-04 10:04:00-05:00,244.2021568627451,-0.001171365254355905,0.4890410050480658
2024-12-04 10:05:00-05:00,244.10457665903888,-0.0003996676609450134,-2.865869409673733
2024-12-04 10:06:00-05:00,243.96566153846152,-0.0005692423485665898,-0.432659292539368
2024-12-04 10:07:00-05:00,243.9410097323601,-0.00010105131810700385,-1.7606998327153967
2024-12-04 10:08:00-05:00,243.86420253164556,-0.0003149093097745137,-1.3343911153920964
2024-12-04 10:09:00-05:00,243.86879491017964,1.8831526914731e-05,-0.7346635152416388
2024-12-04 10:10:00-05:00,243.71009174311925,-0.0006509845976072626,-1.703054356419689
2024-12-04 10:11:00-05:00,243.54201834862386,-0.0006898827021188936,0.41044764122923283
2024-12-04 10:12:00-05:00,243.60455223880595,0.00025673542338733313,0.1253490637817307
2024-12-04 10:13:00-05:00,243.55546650717702,-0.00020151789927869146,-0.7288153099463034
2024-12-04 10:14:00-05:00,243.4958143939394,-0.0002449520856426801,-1.4465665581990386
2024-12-04 10:15:00-05:00,243.28411764705885,-0.0008697842548235357,-3.799517217669372
2024-12-04 10:16:00-05:00,243.12043385490756,-0.000673035635973207,0.39060271633570304
2024-12-04 10:17:00-05:00,243.21200970873787,0.0003765977619822891,-2.6034049622725695
2024-12-04 10:18:00-05:00,242.94903389830506,-0.0010818466001731863,-2.971639314120534
2024-12-04 10:19:00-05:00,242.83469121140143,-0.00047075553628150857,0.41257823617040307
2024-12-04 10:20:00-05:00,242.95544388609713,0.0004971392725314772,-0.41045121406280993
2024-12-04 10:21:00-05:00,242.94832983193277,-2.9281740745901175e-05,1.0410313248970888
2024-12-04 10:22:00-05:00,243.04504065040652,0.0003979923415595721,0.6132177394481444
2024-12-04 10:23:00-05:00,242.96527542372883,-0.00032824499709516175,-2.456433903431614
2024-12-04 10:24:00-05:00,243.00224550898204,0.00015215043694105645,1.541584683983815
2024-12-04 10:25:00-05:00,243.16395618556703,0.0006652485589713208,2.1778438420550055
2024-12-04 10:26:00-05:00,243.18586111111108,9.007888881473747e-05,-1.5909993217010405
2024-12-04 10:27:00-05:00,243.13188508064516,-0.00022197845384042125,-2.3443265211805158
2024-12-04 10:28:00-05:00,242.95071296296297,-0.0007454376141042829,-0.9987849753932361
2024-12-04 10:29:00-05:00,242.96153136531365,4.452821462574974e-05,0.5103832823429294
2024-12-04 10:30:00-05:00,242.9817848970252,8.335758943722738e-05,0.9372053777986419
2024-12-04 10:31:00-05:00,243.0676811594203,0.0003534465904717621,0.8523822190696148
2024-12-04 10:32:00-05:00,242.93682842287694,-0.0005384836441848506,-1.971764549548732
2024-12-04 10:33:00-05:00,242.89293388429752,-0.00018069925765917816,0.09470753714973208
2024-12-04 10:34:00-05:00,242.86827800829874,-0.00010151438779537614,1.1697006616146628
2024-12-04 10:35:00-05:00,242.9114161849711,0.00017760386982601517,0.9239673752658557
2024-12-04 10:36:00-05:00,242.85688712522048,-0.0002245064554777798,-0.15058380645065508
2024-12-04 10:37:00-05:00,242.90473404255317,0.00019699752060464704,-0.009158099219845253
2024-12-04 10:38:00-05:00,242.9087050359712,1.6347812137773587e-05,0.696386196344404
2024-12-04 10:39:00-05:00,242.89143700787403,-7.109107886105193e-05,1.0431213751277226
2024-12-04 10:40:00-05:00,242.9583298538622,0.00027536432442065717,1.9468001914086708
2024-12-04 10:41:00-05:00,243.0508098591549,0.00038056900108252023,1.8962580580623298
2024-12-04 10:42:00-05:00,243.05595604395606,2.1173063871948727e-05,-0.7944384896609954
2024-12-04 10:43:00-05:00,243.09485436893203,0.00016002575425488885,1.2286334347931807
2024-12-04 10:44:00-05:00,243.08507092198582,-4.024619873721491e-05,-0.7956235335272237
2024-12-04 10:45:00-05:00,243.0296357615894,-0.00022807440250005584,-1.6377521178626182
2024-12-04 10:46:00-05:00,243.0515782493369,9.028321658988148e-05,2.8677106963273853
2024-12-04 10:47:00-05:00,243.02406521739132,-0.00011320473405618259,-4.1937138238620655
2024-12-04 10:48:00-05:00,242.77063218390805,-0.0010433751452225692,-1.107151038079704
2024-12-04 10:49:00-05:00,242.758,-5.203476406290264e-05,-1.0074219840602228
2024-12-04 10:50:00-05:00,242.7264303482587,-0.00013005422959988522,0.021982697677778485
2024-12-04 10:51:00-05:00,242.70914565826328,-7.121311604318947e-05,0.6657378672073915
2024-12-04 10:52:00-05:00,242.77100000000002,0.00025481718510889095,1.918739438472657
2024-12-04 10:53:00-05:00,242.90327160493825,0.0005446926713723599,2.354914988975214
2024-12-04 10:54:00-05:00,242.93716617210683,0.00013952962572894023,0.45288866807394623
2024-12-04 10:55:00-05:00,243.00841246290798,0.0002932274495091036,1.141224109426203
2024-12-04 10:56:00-05:00,243.08660377358493,0.0003217120469845014,1.2244704526292511
2024-12-04 10:57:00-05:00,243.1218699186992,0.00014506594222218894,0.04940864422350453
2024-12-04 10:58:00-05:00,243.18665369649807,0.00026643077402965787,1.4458105938379164
2024-12-04 10:59:00-05:00,243.31210126582278,0.0005157159019439916,2.2180983648044754
2024-12-04 11:00:00-05:00,243.3328382838284,8.522442681702103e-05,-1.1519185328807178
2024-12-04 11:01:00-05:00,243.2167142857143,-0.0004773367880241963,-2.04377312845622
