ts_event_min_aapl,mid_price_aapl,log_return_1min_aapl,PCA_OFI_aapl
2024-12-04 04:01:00-05:00,243.19379166666667,0.00038914254056798825,2.9544504300702186
2024-12-04 04:02:00-05:00,243.33857142857144,0.000595149581652521,-0.9573693698060165
2024-12-04 04:03:00-05:00,243.43950177935943,0.00041468734024618925,-4.782091688160114
2024-12-04 04:04:00-05:00,243.41726384364821,-9.135309313457185e-05,-0.93483270190636
2024-12-04 04:05:00-05:00,243.35951977401132,-0.00023725071470614978,-0.08368552602800956
2024-12-04 04:06:00-05:00,243.40813513513515,0.00019974770630337702,-0.2637560119509265
2024-12-04 04:07:00-05:00,243.44531088082903,0.0001527184251051139,0.05373307090384786
2024-12-04 04:08:00-05:00,243.4620231213873,6.864649348159446e-05,-0.8304748419808529
2024-12-04 04:09:00-05:00,243.47200581395353,4.100223839120787e-05,-0.325438532587669
2024-12-04 04:10:00-05:00,243.45854838709676,-5.527452218423434e-05,-0.3169694000056828
2024-12-04 04:11:00-05:00,243.48530456852794,0.0001098943185979806,-1.7620695854257151
2024-12-04 04:12:00-05:00,243.58966367713006,0.0004285135430999176,-4.541815113323272
2024-12-04 04:13:00-05:00,243.63221276595743,0.0001746600101215634,-3.061134656058221
2024-12-04 04:14:00-05:00,243.55050193050192,-0.00033544226326931437,-2.566415970857594
2024-12-04 04:15:00-05:00,243.50714285714284,-0.00017804493549267164,0.1318632975786057
2024-12-04 04:16:00-05:00,243.52273755656108,6.40400108942174e-05,1.0335360562649483
2024-12-04 04:17:00-05:00,243.50271978021976,-8.220422998928001e-05,0.9812492663078275
2024-12-04 04:18:00-05:00,243.5253424657534,9.290095295799716e-05,0.5300930697607046
2024-12-04 04:19:00-05:00,243.52598837209302,2.652313210838031e-06,0.5639378892641871
2024-12-04 04:20:00-05:00,243.40680327868853,-0.0004895340705255435,0.9468315393696755
2024-12-04 04:21:00-05:00,243.3584375,-0.0001987232234181846,1.079482389285044
2024-12-04 04:22:00-05:00,243.30012135922328,-0.00023965936689762657,-0.04989341596428993
2024-12-04 04:23:00-05:00,243.29963636363635,-1.9934066113336257e-06,-1.4173919900042145
2024-12-04 04:24:00-05:00,243.31444852941175,6.087849176594773e-05,-0.7863386782540057
2024-12-04 04:25:00-05:00,243.4459259259259,0.0005402140626529217,0.8889883152985874
2024-12-04 04:26:00-05:00,243.4655844155844,8.074768926835674e-05,0.9034840946550575
2024-12-04 04:27:00-05:00,243.45883620689654,-2.7717684315753388e-05,0.38581704485216817
2024-12-04 04:28:00-05:00,243.4477551020408,-4.551634771665647e-05,-0.08439794011892875
2024-12-04 04:29:00-05:00,243.45,9.221229450240287e-06,0.6551608707468642
2024-12-04 04:30:00-05:00,243.44915789473683,-3.4590540956003224e-06,-0.23473063639756395
2024-12-04 04:31:00-05:00,243.45958015267175,4.280990305627341e-05,0.2063304185101696
2024-12-04 04:32:00-05:00,243.44993710691824,-3.960918985157491e-05,0.008013596520117025
2024-12-04 04:33:00-05:00,243.4491237113402,-3.341126091349622e-06,0.8312257558064353
2024-12-04 04:34:00-05:00,243.44640625,-1.1162400034514519e-05,-0.007532359338555268
2024-12-04 04:35:00-05:00,243.41069672131147,-0.0001466940855321397,0.5208832503591062
2024-12-04 04:36:00-05:00,243.41000000000003,-2.8623323373722087e-06,0.22747070481418813
2024-12-04 04:37:00-05:00,243.39564285714286,-5.8985112732834466e-05,0.2761056538249828
